time (sec)	y (intensity)
5.555555556	0.016408155
5.611111111	0.016847712
5.666666667	0.017162893
5.722222222	0.01724783
5.777777778	0.016347662
5.833333333	0.016761538
5.888888889	0.016730555
5.944444444	0.017464079
6	0.016600488
6.055555556	0.016445378
6.111111111	0.016767062
6.166666667	0.015690106
6.222222222	0.016240998
6.277777778	0.016197829
6.333333333	0.016075268
6.388888889	0.016098327
6.444444444	0.017210652
6.5	0.017062526
6.555555556	0.017140709
6.611111111	0.017022415
6.666666667	0.016560346
6.722222222	0.017089722
6.777777778	0.017318924
6.833333333	0.017221697
6.888888889	0.016176699
6.944444444	0.016513625
7	0.016635413
7.055555556	0.015967103
7.111111111	0.015916744
7.166666667	0.016392656
7.222222222	0.01704232
7.277777778	0.017176943
7.333333333	0.016976364
7.388888889	0.016743675
7.444444444	0.017449846
7.5	0.016814538
7.555555556	0.017136801
7.611111111	0.016754259
7.666666667	0.016444149
7.722222222	0.01712245
7.777777778	0.016798467
7.833333333	0.016473234
7.888888889	0.01668066
7.944444444	0.016180263
8	0.017225211
8.055555556	0.016994055
8.111111111	0.017073241
8.166666667	0.017467232
8.222222222	0.017019626
8.277777778	0.016780799
8.333333333	0.017068764
8.388888889	0.016690176
8.444444444	0.017030155
8.5	0.017326925
8.555555556	0.016093143
8.611111111	0.015718931
8.666666667	0.016128684
8.722222222	0.016349618
8.777777778	0.016979194
8.833333333	0.017409245
8.888888889	0.016265051
8.944444444	0.017244851
9	0.016998623
9.055555556	0.01651456
9.111111111	0.017271413
9.166666667	0.017045278
9.222222222	0.016323657
9.277777778	0.016397595
9.333333333	0.016317756
9.388888889	0.016514606
9.444444444	0.01619106
9.5	0.016227678
9.555555556	0.016382818
9.611111111	0.016843244
9.666666667	0.017221616
9.722222222	0.017893645
9.777777778	0.016572669
9.833333333	0.01701813
9.888888889	0.017103954
9.944444444	0.016396108
10	0.016124775
10.05555556	0.016440274
10.11111111	0.016397842
10.16666667	0.015406882
10.22222222	0.015641461
10.27777778	0.015377728
10.33333333	0.016548768
10.38888889	0.016597933
10.44444444	0.016462579
10.5	0.016381404
10.55555556	0.016468652
10.61111111	0.016462272
10.66666667	0.015690674
10.72222222	0.016057275
10.77777778	0.015569189
10.83333333	0.015401703
10.88888889	0.015140763
10.94444444	0.015367809
11	0.015500682
11.05555556	0.015828931
11.11111111	0.016070364
11.16666667	0.016747194
11.22222222	0.016944137
11.27777778	0.01593492
11.33333333	0.015975048
11.38888889	0.01564669
11.44444444	0.016030416
11.5	0.015144938
11.55555556	0.015311867
11.61111111	0.01528586
11.66666667	0.015119634
11.72222222	0.015015682
11.77777778	0.015225896
11.83333333	0.016352863
11.88888889	0.016779813
11.94444444	0.016848851
12	0.016125272
12.05555556	0.015799497
12.11111111	0.016341772
12.16666667	0.016398449
12.22222222	0.016324273
12.27777778	0.016156498
12.33333333	0.015654017
12.38888889	0.015744115
12.44444444	0.015435615
12.5	0.016867794
12.55555556	0.016411127
12.61111111	0.016798378
12.66666667	0.016347271
12.72222222	0.016339264
12.77777778	0.016395462
12.83333333	0.016593441
12.88888889	0.016227797
12.94444444	0.016336602
13	0.015893631
13.05555556	0.015907132
13.11111111	0.016462684
13.16666667	0.016623416
13.22222222	0.016509502
13.27777778	0.017033611
13.33333333	0.017584972
13.38888889	0.017302438
13.44444444	0.016771448
13.5	0.016659154
13.55555556	0.016136852
13.61111111	0.015844371
13.66666667	0.015819913
13.72222222	0.016337663
13.77777778	0.016713981
13.83333333	0.017471345
13.88888889	0.01741553
13.94444444	0.01721548
14	0.017039278
14.05555556	0.01664717
14.11111111	0.017222713
14.16666667	0.01657849
14.22222222	0.016737213
14.27777778	0.017003074
14.33333333	0.016861678
14.38888889	0.016982035
14.44444444	0.016265721
14.5	0.017133088
14.55555556	0.01789358
14.61111111	0.0175649
14.66666667	0.016958523
14.72222222	0.017384278
14.77777778	0.017529524
14.83333333	0.017167977
14.88888889	0.017002639
14.94444444	0.016860374
15	0.016375923
15.05555556	0.016554729
15.11111111	0.016342541
15.16666667	0.017110235
15.22222222	0.016768317
15.27777778	0.016107919
15.33333333	0.017106643
15.38888889	0.017913384
15.44444444	0.016953187
15.5	0.016858636
15.55555556	0.016674158
15.61111111	0.016784987
15.66666667	0.017038091
15.72222222	0.016865752
15.77777778	0.016815256
15.83333333	0.016957347
15.88888889	0.01612255
15.94444444	0.016114277
16	0.016814076
16.05555556	0.01625705
16.11111111	0.016829827
16.16666667	0.0173985
16.22222222	0.017220076
16.27777778	0.017531813
16.33333333	0.017568533
16.38888889	0.016778182
16.44444444	0.017086758
16.5	0.01722226
16.55555556	0.016228772
16.61111111	0.016466661
16.66666667	0.016663067
16.72222222	0.016484276
16.77777778	0.016454296
16.83333333	0.01585131
16.88888889	0.016715302
16.94444444	0.017190127
17	0.017247622
17.05555556	0.017599359
17.11111111	0.016750921
17.16666667	0.016633728
17.22222222	0.016652373
17.27777778	0.016253603
17.33333333	0.015753934
17.38888889	0.015857133
17.44444444	0.01641846
17.5	0.016530676
17.55555556	0.015933539
17.61111111	0.015604043
17.66666667	0.015164697
17.72222222	0.016691891
17.77777778	0.017136492
17.83333333	0.016686638
17.88888889	0.016924233
17.94444444	0.016577382
18	0.016548344
18.05555556	0.015769615
18.11111111	0.016128894
18.16666667	0.015304712
18.22222222	0.015981174
18.27777778	0.015792644
18.33333333	0.015760704
18.38888889	0.015612139
18.44444444	0.015309861
18.5	0.016130329
18.55555556	0.016827978
18.61111111	0.016846541
18.66666667	0.016830004
18.72222222	0.017030499
18.77777778	0.015941826
18.83333333	0.015906471
18.88888889	0.01568664
18.94444444	0.015495253
19	0.015244595
19.05555556	0.015515335
19.11111111	0.014785984
19.16666667	0.014992076
19.22222222	0.015094211
19.27777778	0.015798273
19.33333333	0.016438852
19.38888889	0.016327317
19.44444444	0.015608142
19.5	0.015896001
19.55555556	0.015327754
19.61111111	0.015426108
19.66666667	0.015632543
19.72222222	0.014835326
19.77777778	0.015269498
19.83333333	0.015084981
19.88888889	0.014593713
19.94444444	0.014845962
20	0.015618348
20.05555556	0.016164878
20.11111111	0.015899405
20.16666667	0.016365731
20.22222222	0.015395875
20.27777778	0.015847609
20.33333333	0.015871898
20.38888889	0.014739732
20.44444444	0.01476537
20.5	0.015001396
20.55555556	0.015280472
20.61111111	0.01494457
20.66666667	0.016214957
20.72222222	0.016020693
20.77777778	0.016863774
20.83333333	0.015997546
20.88888889	0.016934422
20.94444444	0.016359544
21	0.015833412
21.05555556	0.015760854
21.11111111	0.016108963
21.16666667	0.015517128
21.22222222	0.015026237
21.27777778	0.015747502
21.33333333	0.016410526
21.38888889	0.016646299
21.44444444	0.016035198
21.5	0.016490553
21.55555556	0.016320684
21.61111111	0.01617909
21.66666667	0.015461562
21.72222222	0.016041541
21.77777778	0.016142025
21.83333333	0.014690424
21.88888889	0.015976408
21.94444444	0.016867389
22	0.016718919
22.05555556	0.016822927
22.11111111	0.016433895
22.16666667	0.016893824
22.22222222	0.016763922
22.27777778	0.016691686
22.33333333	0.016540052
22.38888889	0.016516619
22.44444444	0.015929878
22.5	0.016375864
22.55555556	0.016746568
22.61111111	0.016736383
22.66666667	0.017035487
22.72222222	0.016259499
22.77777778	0.016984116
22.83333333	0.016688217
22.88888889	0.016489331
22.94444444	0.016202077
23	0.016180143
23.05555556	0.015985361
23.11111111	0.016439691
23.16666667	0.016489388
23.22222222	0.016624192
23.27777778	0.017177516
23.33333333	0.01654133
23.38888889	0.017219494
23.44444444	0.016672111
23.5	0.016690193
23.55555556	0.0170104
23.61111111	0.017026665
23.66666667	0.017048441
23.72222222	0.016505095
23.77777778	0.016247265
23.83333333	0.016098249
23.88888889	0.016298246
23.94444444	0.015992248
24	0.017286664
24.05555556	0.017585225
24.11111111	0.01732984
24.16666667	0.017037624
24.22222222	0.016881723
24.27777778	0.016723552
24.33333333	0.016859102
24.38888889	0.01700952
24.44444444	0.016494781
24.5	0.016310261
24.55555556	0.016905229
24.61111111	0.016267486
24.66666667	0.016125157
24.72222222	0.015372494
24.77777778	0.016731596
24.83333333	0.017475
24.88888889	0.017627171
24.94444444	0.016731466
25	0.017265445
25.05555556	0.016976965
25.11111111	0.017063736
25.16666667	0.016860385
25.22222222	0.016566007
25.27777778	0.015863403
25.33333333	0.015864115
25.38888889	0.015779736
25.44444444	0.015206087
25.5	0.015338262
25.55555556	0.015899849
25.61111111	0.01598825
25.66666667	0.016797128
25.72222222	0.017051063
25.77777778	0.016075985
25.83333333	0.016525031
25.88888889	0.016068531
25.94444444	0.016314443
26	0.016227336
26.05555556	0.016165438
26.11111111	0.015546234
26.16666667	0.015213464
26.22222222	0.015064779
26.27777778	0.015350467
26.33333333	0.015591022
26.38888889	0.017259511
26.44444444	0.017088211
26.5	0.016782159
26.55555556	0.016372693
26.61111111	0.017385094
26.66666667	0.016390485
26.72222222	0.016319899
26.77777778	0.015809713
26.83333333	0.015590547
26.88888889	0.01534554
26.94444444	0.015721525
27	0.014783475
27.05555556	0.014800588
27.11111111	0.015658348
27.16666667	0.015844127
27.22222222	0.016545147
27.27777778	0.016588179
27.33333333	0.016396236
27.38888889	0.016047919
27.44444444	0.01605092
27.5	0.015901653
27.55555556	0.015431754
27.61111111	0.015280412
27.66666667	0.0164258
27.72222222	0.015309125
27.77777778	0.015116872
27.83333333	0.015433851
27.88888889	0.015534685
27.94444444	0.016581295
28	0.016669197
28.05555556	0.016875211
28.11111111	0.016102435
28.16666667	0.015827676
28.22222222	0.016095697
28.27777778	0.015906194
28.33333333	0.015378528
28.38888889	0.015563506
28.44444444	0.015489074
28.5	0.014904881
28.55555556	0.015148905
28.61111111	0.015632603
28.66666667	0.015843543
28.72222222	0.016739784
28.77777778	0.016102237
28.83333333	0.015921413
28.88888889	0.015944277
28.94444444	0.015772482
29	0.015967998
29.05555556	0.015035199
29.11111111	0.014662675
29.16666667	0.014745974
29.22222222	0.014919335
29.27777778	0.015262296
29.33333333	0.016231433
29.38888889	0.016348297
29.44444444	0.016437409
29.5	0.015873251
29.55555556	0.015824676
29.61111111	0.016370721
29.66666667	0.016070778
29.72222222	0.015100221
29.77777778	0.015677069
29.83333333	0.015300808
29.88888889	0.015407294
29.94444444	0.016107865
30	0.016410089
30.05555556	0.01656583
30.11111111	0.016652077
30.16666667	0.015845772
30.22222222	0.016380289
30.27777778	0.016563767
30.33333333	0.016143918
30.38888889	0.01573938
30.44444444	0.016349613
30.5	0.016144918
30.55555556	0.016927482
30.61111111	0.017070375
30.66666667	0.017196492
30.72222222	0.016613582
30.77777778	0.016692246
30.83333333	0.017112716
30.88888889	0.016994003
30.94444444	0.016427204
31	0.016868729
31.05555556	0.016538631
31.11111111	0.016792359
31.16666667	0.016377987
31.22222222	0.017270951
31.27777778	0.016552225
31.33333333	0.016740847
31.38888889	0.01793202
31.44444444	0.017195163
31.5	0.017020374
31.55555556	0.016802517
31.61111111	0.017115529
31.66666667	0.017530242
31.72222222	0.017072328
31.77777778	0.017003435
31.83333333	0.016668031
31.88888889	0.017271051
31.94444444	0.017596497
32	0.017600192
32.05555556	0.017971776
32.11111111	0.017721942
32.16666667	0.017609736
32.22222222	0.017436056
32.27777778	0.017924143
32.33333333	0.017885737
32.38888889	0.017318642
32.44444444	0.017580419
32.5	0.018044321
32.55555556	0.017260121
32.61111111	0.017406968
32.66666667	0.017365292
32.72222222	0.017063814
32.77777778	0.017841674
32.83333333	0.01796035
32.88888889	0.018364928
32.94444444	0.01762873
33	0.017897312
33.05555556	0.017954737
33.11111111	0.017969584
33.16666667	0.017796573
33.22222222	0.017268895
33.27777778	0.017402623
33.33333333	0.017839305
33.38888889	0.017750637
33.44444444	0.017133307
33.5	0.017626956
33.55555556	0.018132774
33.61111111	0.018151518
33.66666667	0.018930492
33.72222222	0.0175008
33.77777778	0.017986744
33.83333333	0.018008704
33.88888889	0.017401566
33.94444444	0.017298008
34	0.017697064
34.05555556	0.017431446
34.11111111	0.017925253
34.16666667	0.017359994
34.22222222	0.016932222
34.27777778	0.01712965
34.33333333	0.017879731
34.38888889	0.017844128
34.44444444	0.017761217
34.5	0.017575399
34.55555556	0.017610412
34.61111111	0.018189522
34.66666667	0.017938878
34.72222222	0.017934937
34.77777778	0.017503524
34.83333333	0.016661845
34.88888889	0.017184535
34.94444444	0.017294657
35	0.017084913
35.05555556	0.016150887
35.11111111	0.018011288
35.16666667	0.017795786
35.22222222	0.018157291
35.27777778	0.018229496
35.33333333	0.017117254
35.38888889	0.01713994
35.44444444	0.01767453
35.5	0.017480049
35.55555556	0.017596358
35.61111111	0.01726316
35.66666667	0.01700846
35.72222222	0.016713805
35.77777778	0.017462959
35.83333333	0.016824323
35.88888889	0.016940537
35.94444444	0.016964012
36	0.017544364
36.05555556	0.018268648
36.11111111	0.017769777
36.16666667	0.017773926
36.22222222	0.018404315
36.27777778	0.017076961
36.33333333	0.016854817
36.38888889	0.016222088
36.44444444	0.016840109
36.5	0.016596893
36.55555556	0.016697015
36.61111111	0.016781086
36.66666667	0.017096412
36.72222222	0.016981658
36.77777778	0.017691619
36.83333333	0.016897724
36.88888889	0.01728457
36.94444444	0.016703644
37	0.016820938
37.05555556	0.016529269
37.11111111	0.016546668
37.16666667	0.016034981
37.22222222	0.016605804
37.27777778	0.016047883
37.33333333	0.015424165
37.38888889	0.01624379
37.44444444	0.017418679
37.5	0.016628529
37.55555556	0.01653822
37.61111111	0.016691072
37.66666667	0.016664829
37.72222222	0.016785252
37.77777778	0.016822526
37.83333333	0.016468105
37.88888889	0.016242493
37.94444444	0.016171939
38	0.015829894
38.05555556	0.016405097
38.11111111	0.016454953
38.16666667	0.016880225
38.22222222	0.017380162
38.27777778	0.017023624
38.33333333	0.016918982
38.38888889	0.016987723
38.44444444	0.016721199
38.5	0.016653048
38.55555556	0.016244042
38.61111111	0.016307252
38.66666667	0.016291058
38.72222222	0.016088867
38.77777778	0.016202829
38.83333333	0.017441796
38.88888889	0.01683083
38.94444444	0.016753689
39	0.017282999
39.05555556	0.016848467
39.11111111	0.0166256
39.16666667	0.01644868
39.22222222	0.016048866
39.27777778	0.016716849
39.33333333	0.016544599
39.38888889	0.017268551
39.44444444	0.017265015
39.5	0.017429571
39.55555556	0.017036815
39.61111111	0.017171131
39.66666667	0.016996539
39.72222222	0.016991283
39.77777778	0.016837594
39.83333333	0.01645744
39.88888889	0.016629629
39.94444444	0.016645988
40	0.01759919
40.05555556	0.017470646
40.11111111	0.017611613
40.16666667	0.017887733
40.22222222	0.017734469
40.27777778	0.017213221
40.33333333	0.017707855
40.38888889	0.017283859
40.44444444	0.017530949
40.5	0.016985251
40.55555556	0.016784004
40.61111111	0.017183071
40.66666667	0.016519263
40.72222222	0.017699847
40.77777778	0.017313496
40.83333333	0.0174796
40.88888889	0.01717529
40.94444444	0.017634312
41	0.016913667
41.05555556	0.017154695
41.11111111	0.016947925
41.16666667	0.017234592
41.22222222	0.017600619
41.27777778	0.017295348
41.33333333	0.017052488
41.38888889	0.016813916
41.44444444	0.017031536
41.5	0.018297061
41.55555556	0.01772638
41.61111111	0.018009457
41.66666667	0.017431155
41.72222222	0.017216922
41.77777778	0.017575071
41.83333333	0.017160492
41.88888889	0.017052064
41.94444444	0.017171742
42	0.017004326
42.05555556	0.017405937
42.11111111	0.016726183
42.16666667	0.01687223
42.22222222	0.017378153
42.27777778	0.017469208
42.33333333	0.01830787
42.38888889	0.017784986
42.44444444	0.018269759
42.5	0.017524786
42.55555556	0.017957619
42.61111111	0.017119786
42.66666667	0.017308915
42.72222222	0.017549365
42.77777778	0.017546865
42.83333333	0.017169806
42.88888889	0.01699524
42.94444444	0.016955389
43	0.016835076
43.05555556	0.017534592
43.11111111	0.017568176
43.16666667	0.017569356
43.22222222	0.01712082
43.27777778	0.017539785
43.33333333	0.017325819
43.38888889	0.017632336
43.44444444	0.017306539
43.5	0.016914446
43.55555556	0.016830996
43.61111111	0.01699787
43.66666667	0.01746076
43.72222222	0.017144826
43.77777778	0.016635958
43.83333333	0.01732246
43.88888889	0.017390874
43.94444444	0.01766332
44	0.017335417
44.05555556	0.017357887
44.11111111	0.017327993
44.16666667	0.017680799
44.22222222	0.017199718
44.27777778	0.016440121
44.33333333	0.016934599
44.38888889	0.016868658
44.44444444	0.016080971
44.5	0.016366003
44.55555556	0.01600265
44.61111111	0.01705962
44.66666667	0.017339625
44.72222222	0.017174381
44.77777778	0.016143576
44.83333333	0.017156489
44.88888889	0.01652109
44.94444444	0.016523438
45	0.016432897
45.05555556	0.016488237
45.11111111	0.016053562
45.16666667	0.015610127
45.22222222	0.0154293
45.27777778	0.015755114
45.33333333	0.016164025
45.38888889	0.016694197
45.44444444	0.016268148
45.5	0.016586175
45.55555556	0.016302839
45.61111111	0.016661172
45.66666667	0.016414892
45.72222222	0.016555143
45.77777778	0.016354915
45.83333333	0.016081631
45.88888889	0.015990197
45.94444444	0.01535973
46	0.015559631
46.05555556	0.015761734
46.11111111	0.016656296
46.16666667	0.016353696
46.22222222	0.016871944
46.27777778	0.016943912
46.33333333	0.016479307
46.38888889	0.016610992
46.44444444	0.015830992
46.5	0.016350424
46.55555556	0.016019552
46.61111111	0.016559705
46.66666667	0.015715134
46.72222222	0.015476671
46.77777778	0.016510317
46.83333333	0.017012582
46.88888889	0.016551454
46.94444444	0.016360722
47	0.016511074
47.05555556	0.016461132
47.11111111	0.016619922
47.16666667	0.016095442
47.22222222	0.016376914
47.27777778	0.016258801
47.33333333	0.015312964
47.38888889	0.016556886
47.44444444	0.017001745
47.5	0.016929477
47.55555556	0.017102308
47.61111111	0.016973524
47.66666667	0.016143389
47.72222222	0.016424661
47.77777778	0.016683049
47.83333333	0.016401493
47.88888889	0.016680354
47.94444444	0.016343172
48	0.016190751
48.05555556	0.016799249
48.11111111	0.01661737
48.16666667	0.017133181
48.22222222	0.017245829
48.27777778	0.016857675
48.33333333	0.017497654
48.38888889	0.016405959
48.44444444	0.016584112
48.5	0.016516026
48.55555556	0.016449154
48.61111111	0.016838613
48.66666667	0.017542668
48.72222222	0.017228306
48.77777778	0.01791573
48.83333333	0.017622514
48.88888889	0.017137886
48.94444444	0.017006442
49	0.017387125
49.05555556	0.017070164
49.11111111	0.017147754
49.16666667	0.017145991
49.22222222	0.016161126
49.27777778	0.01635951
49.33333333	0.0172542
49.38888889	0.017484457
49.44444444	0.017472155
49.5	0.017809776
49.55555556	0.017865894
49.61111111	0.018278027
49.66666667	0.017974438
49.72222222	0.016624044
49.77777778	0.016816433
49.83333333	0.016686442
49.88888889	0.017235283
49.94444444	0.016771099
50	0.016535798
50.05555556	0.017598729
50.11111111	0.017587887
50.16666667	0.017463755
50.22222222	0.017804023
50.27777778	0.017276998
50.33333333	0.016972447
50.38888889	0.017088679
50.44444444	0.017179967
50.5	0.017534259
50.55555556	0.01738849
50.61111111	0.01733774
50.66666667	0.017171601
50.72222222	0.01675628
50.77777778	0.016705183
50.83333333	0.01622117
50.88888889	0.017278102
50.94444444	0.017955317
51	0.017481589
51.05555556	0.017487342
51.11111111	0.017659409
51.16666667	0.016768951
51.22222222	0.017456608
51.27777778	0.017531198
51.33333333	0.017067746
51.38888889	0.016980883
51.44444444	0.016290756
51.5	0.016322859
51.55555556	0.016875886
51.61111111	0.01663826
51.66666667	0.016617873
51.72222222	0.017328807
51.77777778	0.01690151
51.83333333	0.017726455
51.88888889	0.017485948
51.94444444	0.017701538
52	0.017380662
52.05555556	0.017367642
52.11111111	0.017263737
52.16666667	0.016692714
52.22222222	0.016461967
52.27777778	0.016907975
52.33333333	0.015889038
52.38888889	0.016800355
52.44444444	0.017981548
52.5	0.017354828
52.55555556	0.01798815
52.61111111	0.016854619
52.66666667	0.016996757
52.72222222	0.016785797
52.77777778	0.017346933
52.83333333	0.01707662
52.88888889	0.016465365
52.94444444	0.016904912
53	0.016226476
53.05555556	0.015989267
53.11111111	0.016086972
53.16666667	0.016996213
53.22222222	0.017269832
53.27777778	0.017379295
53.33333333	0.017682411
53.38888889	0.01662781
53.44444444	0.017643271
53.5	0.016667672
53.55555556	0.016406254
53.61111111	0.016912653
53.66666667	0.016256908
53.72222222	0.015869936
53.77777778	0.01631955
53.83333333	0.016169819
53.88888889	0.016584711
53.94444444	0.017526911
54	0.017069778
54.05555556	0.016760417
54.11111111	0.016376357
54.16666667	0.016708317
54.22222222	0.016940862
54.27777778	0.016613659
54.33333333	0.015889009
54.38888889	0.016284
54.44444444	0.01633006
54.5	0.016143946
54.55555556	0.016562782
54.61111111	0.016979139
54.66666667	0.017011257
54.72222222	0.017226765
54.77777778	0.017012452
54.83333333	0.016329722
54.88888889	0.016619748
54.94444444	0.016170628
55	0.016043734
55.05555556	0.015761702
55.11111111	0.01569158
55.16666667	0.015701082
55.22222222	0.016438745
55.27777778	0.016648025
55.33333333	0.016605765
55.38888889	0.016803906
55.44444444	0.016617471
55.5	0.016287752
55.55555556	0.016639764
55.61111111	0.016279236
55.66666667	0.016582921
55.72222222	0.016233148
55.77777778	0.015955524
55.83333333	0.016927562
55.88888889	0.017258195
55.94444444	0.017257165
56	0.016883798
56.05555556	0.017339917
56.11111111	0.016815703
56.16666667	0.016764747
56.22222222	0.016685253
56.27777778	0.016658878
56.33333333	0.016553074
56.38888889	0.016560532
56.44444444	0.016655438
56.5	0.016478429
56.55555556	0.017506259
56.61111111	0.01665558
56.66666667	0.01719197
56.72222222	0.016889081
56.77777778	0.017600372
56.83333333	0.016314386
56.88888889	0.016996684
56.94444444	0.016308413
57	0.016343282
57.05555556	0.017145019
57.11111111	0.017646769
57.16666667	0.017790472
57.22222222	0.017409582
57.27777778	0.017427614
57.33333333	0.018068508
57.38888889	0.017303644
57.44444444	0.016783302
57.5	0.017688274
57.55555556	0.016936412
57.61111111	0.017046721
57.66666667	0.016525621
57.72222222	0.017193229
57.77777778	0.017443689
57.83333333	0.018181695
57.88888889	0.017759735
57.94444444	0.017551201
58	0.018084045
58.05555556	0.017972014
58.11111111	0.017465208
58.16666667	0.017524091
58.22222222	0.017234958
58.27777778	0.016590141
58.33333333	0.016497151
58.38888889	0.016929962
58.44444444	0.016910282
58.5	0.017735148
58.55555556	0.017401033
58.61111111	0.016998275
58.66666667	0.016761361
58.72222222	0.016981275
58.77777778	0.017388438
58.83333333	0.017220338
58.88888889	0.017020619
58.94444444	0.01619457
59	0.016211702
59.05555556	0.016649471
59.11111111	0.016837778
59.16666667	0.016272894
59.22222222	0.017252338
59.27777778	0.017249833
59.33333333	0.017807392
59.38888889	0.016847058
59.44444444	0.017373429
59.5	0.017320914
59.55555556	0.017547599
59.61111111	0.016197896
59.66666667	0.016496386
59.72222222	0.016971403
59.77777778	0.01629738
59.83333333	0.016811172
59.88888889	0.016082099
59.94444444	0.016014129
60	0.016540557
60.05555556	0.017096126
60.11111111	0.017588917
60.16666667	0.017141535
60.22222222	0.01707293
60.27777778	0.0166192
60.33333333	0.016767459
60.38888889	0.016460425
60.44444444	0.016373381
60.5	0.016016481
60.55555556	0.01659791
60.61111111	0.015590424
60.66666667	0.016182201
60.72222222	0.01602073
60.77777778	0.016521034
60.83333333	0.016800505
60.88888889	0.017146379
60.94444444	0.017150691
61	0.017048251
61.05555556	0.016554711
61.11111111	0.016465531
61.16666667	0.016705954
61.22222222	0.016223096
61.27777778	0.016839297
61.33333333	0.016451995
61.38888889	0.016243257
61.44444444	0.015443359
61.5	0.015929541
61.55555556	0.017000463
61.61111111	0.016479056
61.66666667	0.016804589
61.72222222	0.0165728
61.77777778	0.016474645
61.83333333	0.016958223
61.88888889	0.016608151
61.94444444	0.016401053
62	0.01614763
62.05555556	0.015811294
62.11111111	0.015774674
62.16666667	0.015565148
62.22222222	0.016512554
62.27777778	0.016635382
62.33333333	0.017465178
62.38888889	0.016901785
62.44444444	0.016932937
62.5	0.016379734
62.55555556	0.016392028
62.61111111	0.016402755
62.66666667	0.016636284
62.72222222	0.015789261
62.77777778	0.015400579
62.83333333	0.015582929
62.88888889	0.01576591
62.94444444	0.016820649
63	0.017159903
63.05555556	0.017180961
63.11111111	0.016531586
63.16666667	0.016514107
63.22222222	0.016693234
63.27777778	0.016463044
63.33333333	0.016253174
63.38888889	0.015955775
63.44444444	0.015969554
63.5	0.015725888
63.55555556	0.015759106
63.61111111	0.01675505
63.66666667	0.01654054
63.72222222	0.017031597
63.77777778	0.016948041
63.83333333	0.015784869
63.88888889	0.016611871
63.94444444	0.0155556
64	0.016214495
64.05555556	0.015921757
64.11111111	0.015760678
64.16666667	0.015594483
64.22222222	0.016043422
64.27777778	0.016467861
64.33333333	0.016605454
64.38888889	0.017140717
64.44444444	0.01634683
64.5	0.016501162
64.55555556	0.01665562
64.61111111	0.016384693
64.66666667	0.016205651
64.72222222	0.015678121
64.77777778	0.015786014
64.83333333	0.015882362
64.88888889	0.017200847
64.94444444	0.017084757
65	0.017301135
65.05555556	0.017074345
65.11111111	0.016787724
65.16666667	0.016772241
65.22222222	0.016376925
65.27777778	0.016014691
65.33333333	0.016027738
65.38888889	0.015975697
65.44444444	0.016979148
65.5	0.017109687
65.55555556	0.016792478
65.61111111	0.016375463
65.66666667	0.016570674
65.72222222	0.017211043
65.77777778	0.017066084
65.83333333	0.016613509
65.88888889	0.01638102
65.94444444	0.016700574
66	0.01618611
66.05555556	0.016330014
66.11111111	0.017353356
66.16666667	0.0175644
66.22222222	0.017076608
66.27777778	0.017256528
66.33333333	0.016925747
66.38888889	0.016756061
66.44444444	0.017287641
66.5	0.016790644
